instance,instance_path,customers,instance_type,solver,solver_parallel_jobs,status,time_sec,solution_found,evs,distance,error
C119_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C119_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0009293109978898428,True,4,541.4511969563757,
C120_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C120_C10x_n.txt,10,Clustered,ALNS,1,ok,0.5201987690015812,True,2,491.0727326087171,
C120_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C120_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0010247050013276748,True,4,505.5721701273416,
C121_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C121_C10x_n.txt,10,Clustered,ALNS,1,ok,0.15890357400348876,True,6,712.0884858817507,
C121_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C121_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0036079710007470567,True,6,712.0884858817507,
C122_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C122_C10x_n.txt,10,Clustered,ALNS,1,ok,0.16839045300002908,True,4,549.2855822353068,
C122_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C122_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.006155505998322042,True,4,549.2855822353068,
C123_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C123_C10x_n.txt,10,Clustered,ALNS,1,ok,0.2396142770012375,True,3,480.83003635200583,
C123_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C123_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0018405889968562406,True,4,546.0354941372339,
C124_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C124_C10x_n.txt,10,Clustered,ALNS,1,ok,0.3031433680007467,True,3,581.7082409308405,
C124_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C124_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.0005820429978484754,True,4,615.1481628687658,
C125_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C125_C10x_n.txt,10,Clustered,ALNS,1,ok,0.21402012200269382,True,5,573.5272424994631,
C125_C10x_n.txt,/home/vast/2E-EVRP_Clarke-Wright_vs_EA/data/Customer_10/C125_C10x_n.txt,10,Clustered,ClarkeWright,1,ok,0.006147323998447973,True,5,573.5272424994631,
